"Effect_Size_ID","Study_ID","Species_ID","Treatment_ID","Trait_ID","First_Author","Title","Year","Journal","Journal_Impact_Factor-2021","Scientific_Name","Ecosystem","Species_Overlap","Plasticity_Mechanism","Developmental_Exposure_Time","Acclimation_Exposure_Time","Exposure_Units","T1_constant","T2_mean","T2_Magnitude","Fluctuation_Category","Fluctuation_Period","Fluctuation_Unit","Acclimation_Life-History_Stage","Animal_Overlap_T1","Animal_Overlap_T2","Shared_Control","Trait_Category","Measurement","Trait_Unit","Performance_Curve","Complex_Design","Animal_Overlap","Percentage_Transformation","Proportion_Transformation","In_Transformation","Reciprocal_Transformation","n_R1-1","R1-1_Mean","R1-1_SD_Final","n_R2-2","R2-2_Mean","R2-2_SD_Final"
13,3,1,2,1,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Life-History Traits","Larval Development","Days","No","No","A","No","No","No","Yes",48,28.5625,3.86972,43,27.69767,3.495132
14,3,1,2,2,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Life-History Traits","Larval Development","Days","No","No","B","No","No","No","Yes",23,25.65217,3.324957,29,24.41379,2.73231
15,3,1,1,3,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Mass","g","No","No","A","No","No","No","No",23,0.2030062,0.01572016,39,0.2072179,0.01681647
16,3,1,1,4,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Mass","g","No","No","B","No","No","No","No",23,0.1720652,0.01613513,35,0.1703571,0.01253825
17,3,1,2,3,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Mass","g","No","No","A","No","No","No","No",23,0.2030062,0.01572016,43,0.1942256,0.01862961
18,3,1,2,4,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Mass","g","No","No","B","No","No","No","No",23,0.1720652,0.01613513,29,0.1702241,0.01393246
19,3,1,1,5,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Wing Area","mm2","No","No","A","No","No","No","No",47,234.4957,16.342325,36,236.2554,16.262517
20,3,1,1,6,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Wing Area","mm2","No","No","B","No","No","No","No",23,189.0373,15.874652,35,186.3912,14.303158
21,3,1,2,5,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Wing Area","mm2","No","No","A","No","No","No","No",47,234.4957,16.342325,36,232.7911,19.698918
22,3,1,2,6,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Wing Area","mm2","No","No","B","No","No","No","No",23,189.0373,15.874652,25,191.3653,9.449152
23,3,1,1,7,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Background brightness of eyespot","HSB Colour Space","No","No","A","No","No","No","No",47,0.3917914,0.02015231,36,0.3962084,0.02417547
24,3,1,1,8,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Background brightness of eyespot","HSB Colour Space","No","No","B","No","No","No","No",23,0.3108971,0.01807808,35,0.3141206,0.02295176
25,3,1,2,7,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Background brightness of eyespot","HSB Colour Space","No","No","A","No","No","No","No",47,0.3917914,0.02015231,36,0.3917669,0.02022504
26,3,1,2,8,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Background brightness of eyespot","HSB Colour Space","No","No","B","No","No","No","No",23,0.3108971,0.01807808,25,0.3071142,0.0140338
27,3,1,1,9,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Relative eyespot size","%","No","No","A","Yes","No","No","No",47,2.2201,0.3327981,36,2.462766,0.266133
28,3,1,1,10,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","B","A","Morphology","Relative eyespot size","%","No","No","B","Yes","No","No","No",23,1.786679,0.2548652,35,2.137994,0.2118687
29,3,1,2,9,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Relative eyespot size","%","No","No","A","Yes","No","No","No",47,2.2201,0.3327981,36,2.529314,0.2668021
30,3,1,2,10,"Y. K. Rodrigues","Additive And Non-Additive Effects Of Day And Night Temperatures On Thermally Plastic Traits In A Model For Adaptive Seasonal Plasticity",2021,"Evolution",4.171,"Bicyclus anynana","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23,23,8,"Alternating",1,"Day",NA,"A","C","A","Morphology","Relative eyespot size","%","No","No","B","Yes","No","No","No",23,1.786679,0.2548652,25,2.222809,0.2178017
31,4,1,1,1,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Life-History Traits","Larval Development","Days","No","Yes","A","No","No","No","Yes",50,32.7392739273928,1.75026430986766,50,26.1386138613862,2.33368574649025
32,4,1,1,2,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Life-History Traits","Larval Development","Days","No","Yes","B","No","No","No","Yes",50,36.1221122112211,2.91710718311284,50,29.1089108910891,1.75026430986776
33,4,1,1,3,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Morphology","Mass","mg","No","Yes","A","No","No","No","No",50,133,9.4280904158207,50,127.666666666667,8.24957911384319
34,4,1,1,4,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Morphology","Mass","mg","No","Yes","B","No","No","No","No",50,131.333333333333,12.9636243217532,50,135.333333333333,9.4280904158207
35,4,1,1,5,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Life-History Traits","Pupal Development","Days","No","Yes","A","No","No","No","Yes",50,17.8560885608856,2.1917700966668,50,15.7749077490775,1.25244005523815
36,4,1,1,6,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Life-History Traits","Pupal Development","Days","No","Yes","B","No","No","No","Yes",50,19.3173431734317,2.19177009666675,50,15.1107011070111,1.56555006904769
37,4,1,1,7,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Gene Expression","hsp70","Relative Expression","No","Yes","A","No","No","No","No",10,0.381959459459459,0.0416651448468131,10,0.345810810810811,0.0256400891365003
38,4,1,1,8,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Gene Expression","hsp70","Relative Expression","No","Yes","B","No","No","No","No",10,0.35527027027027,0.0245717520891462,10,0.324189189189189,0.0352551225626881
39,4,1,1,9,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Biochemical Assay","Number of Haemocytes","No.","No","Yes","A","No","No","No","No",25,30.1010101010101,5.38720538720536,25,36.969696969697,15.4882154882155
40,4,1,1,10,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Biochemical Assay","Number of Haemocytes","No.","No","Yes","B","No","No","No","No",25,34.2760942760943,11.4478114478115,25,48.2828282828283,16.8350168350169
41,4,1,1,11,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Biochemical Assay","Total PO Activity","No.","No","Yes","A","No","No","No","No",25,12.0408163265306,5.44217687074831,25,9.18367346938775,6.80272108843541
42,4,1,1,12,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,17.7,17.7,10,"Stepwise",1,"Day",NA,"A","B","A","Biochemical Assay","Total PO Activity","No.","No","Yes","B","No","No","No","No",25,35.9863945578231,12.9251700680272,25,42.6530612244898,18.3673469387755
43,4,1,2,1,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Life-History Traits","Larval Development","Days","No","Yes","A","No","No","No","Yes",50,17.3102310231023,1.16684287324512,50,16.3201320132013,2.33368574649025
44,4,1,2,2,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Life-History Traits","Larval Development","Days","No","Yes","B","No","No","No","Yes",50,18.6303630363036,2.91710718311279,50,16.7326732673267,2.33368574649025
45,4,1,2,3,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Morphology","Mass","mg","No","Yes","A","No","No","No","No",50,109.666666666667,11.7851130197757,50,110,8.24957911384299
46,4,1,2,4,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Morphology","Mass","mg","No","Yes","B","No","No","No","No",50,112.166666666667,10.6066017177982,50,115,7.07106781186548
47,4,1,2,5,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Life-History Traits","Pupal Development","Days","No","Yes","A","No","No","No","Yes",50,9.88560885608856,1.25244005523816,50,9.44280442804428,1.87866008285726
48,4,1,2,6,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Life-History Traits","Pupal Development","Days","No","Yes","B","No","No","No","Yes",50,9.92988929889299,1.25244005523816,50,9.44280442804428,0.93933004142863
49,4,1,2,7,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Gene Expression","hsp70","Relative Expression","No","Yes","A","No","No","No","No",10,0.383986486486486,0.0395284707521046,10,0.33972972972973,0.0267084261838545
50,4,1,2,8,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Gene Expression","hsp70","Relative Expression","No","Yes","B","No","No","No","No",10,0.366756756756757,0.0352551225626881,10,0.333310810810811,0.0438018189415215
51,4,1,2,9,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Biochemical Assay","Number of Haemocytes","No.","No","Yes","A","No","No","No","No",25,25.7912457912458,8.75420875420875,25,30.3703703703704,14.1414141414141
52,4,1,2,10,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Biochemical Assay","Number of Haemocytes","No.","No","Yes","B","No","No","No","No",25,23.5016835016835,5.3872053872054,25,32.5252525252525,11.4478114478114
53,4,1,2,11,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Biochemical Assay","Total PO Activity","No.","No","Yes","A","No","No","No","No",25,8.63945578231293,5.44217687074831,25,11.2244897959184,5.44217687074831
54,4,1,2,12,"K. Fischer","Assay Conditions In Laboratory Experiments: Is The Use Of Constant Rather Than Fluctuating Temperatures Justified When Investigating Temperature-Induced Plasticity?",2011,"Oecologia",3.298,"Lycaena tityrus","Terrestrial","A","Developmental Plasticity","Larvae Development",NA,NA,23.7,23.7,10,"Stepwise",1,"Day",NA,"C","D","B","Biochemical Assay","Total PO Activity","No.","No","Yes","B","No","No","No","No",25,26.5986394557823,13.6054421768707,25,34.8979591836735,17.0068027210884
55,5,1,1,1,"T. Ketola","Constant, Cycling, Hot And Cold Thermal Environments: Strong Effects On Mean Viability But Not On Genetic Estimates",2012,"Journal Of Evolutionary Biology",2.516,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,25,25,8,"Alternating",1,"Day",NA,"A","B","A","Population","Survival","Proportion","No","Yes","A","No","Yes","No","No",17160,0.83,0.392988549451508,17340,0.81,0.395044301313157
56,5,1,2,1,"T. Ketola","Constant, Cycling, Hot And Cold Thermal Environments: Strong Effects On Mean Viability But Not On Genetic Estimates",2012,"Journal Of Evolutionary Biology",2.516,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,30,30,8,"Alternating",1,"Day",NA,"C","D","B","Population","Survival","Proportion","No","Yes","A","No","Yes","No","No",16830,0.74,0.518921959450552,16920,0.66,0.520307601328291
57,6,1,1,1,"J. M. Rojas","Coping With Daily Thermal Variability: Behavioural Performance Of An Ectotherm Model In A Warming World",2014,"Plos One",3.752,"Porcellio laevis","Terrestrial","A","Acclimation",NA,74,"Days",24,24,8,"Alternating",1,"Day","Adults","A","B","A","Behavioural","Exploration Speed","cm/s","No","No","A","No","No","No","No",20,3.6,1.78885438199983,20,5,2.68328157299975
58,6,1,2,1,"J. M. Rojas","Coping With Daily Thermal Variability: Behavioural Performance Of An Ectotherm Model In A Warming World",2014,"Plos One",3.752,"Porcellio laevis","Terrestrial","A","Acclimation",NA,74,"Days",24,24,16,"Alternating",1,"Day","Adults","A","C","A","Behavioural","Exploration Speed","cm/s","No","No","A","No","No","No","No",20,3.6,1.78885438199983,20,3.8,1.78885438199983
