Effect_Size_ID,Study_ID,Species_ID,Treatment_ID_T1,Treatment_ID_T2,Trait_ID,First_Author,Title,Year,Journal,Journal_Impact_Factor-2021,Kingdom,Phylum,Class,Order,Family,Scientific_Name,Ecosystem,Plasticity_Mechanism,Developmental_Exposure_Time_Category,Developmental_Exposure_Time,Acclimation_Exposure_Time,Exposure_Units,T1_constant,T1_fluctuation,T2_constant,T2_fluctuation,High,Fluctuation_Magnitude,Fluctuation_Category,Fluctuation_Period,Fluctuation_Unit,Number_Of_Fluctuations,Acclimation_Life-History_Stage,Acclimation_Life-History_Stage_Category,Trait_Category,Measurement,Trait_Unit,per_transform,ln_transform,Sex,Performance_Curve,Complex_Design,Shared_Control_Number,n_T1_C,Mean_T1_C,SD_Final_T1_C,n_T1_F,Mean_T1_F,SD_Final_T1_F,n_T2_C,Mean_T2_C,SD_Final_T2_C,n_T2_F,Mean_T2_F,SD_Final_T2_F
36,27,1,2,4,3,J. G. Kingsolver,Fluctuating Temperatures And Ectotherm Growth: Distinguishing Non-Linear And Time-Dependent Effects,2015,Journal Of Experimental Biology,3.308,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca sexta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,20,20,25,25,T2,20,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,NA,No,Yes,28,10,18.15019763,0.599957817,10,17.10671937,0.749947271,10,13.64426877,0.899936725,10,12.743083,0.749947271
37,30,1,1,2,1,P. M. Brakefield,Genotype-Environment Interactions For Insect Growth In Constant And Fluctuating Temperature Regimes,1997,Proceedings Of The Royal Society B-Biological Sciences,5.53,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus anynana,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,19,19,25,25,T2,8,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,h,No,No,Male,No,Yes,29,16,1532,142,37,1228,102,37,765,87,27,803,75
38,30,1,1,2,2,P. M. Brakefield,Genotype-Environment Interactions For Insect Growth In Constant And Fluctuating Temperature Regimes,1997,Proceedings Of The Royal Society B-Biological Sciences,5.53,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus anynana,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,19,19,25,25,T2,8,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,h,No,No,Female,No,Yes,30,26,1664,178,31,1316,215,30,798,71,38,856,83
39,30,1,1,2,3,P. M. Brakefield,Genotype-Environment Interactions For Insect Growth In Constant And Fluctuating Temperature Regimes,1997,Proceedings Of The Royal Society B-Biological Sciences,5.53,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus anynana,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,19,19,25,25,T2,8,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Male,No,Yes,31,16,171,19,37,167,14,37,167,20,27,149,20
40,30,1,1,2,4,P. M. Brakefield,Genotype-Environment Interactions For Insect Growth In Constant And Fluctuating Temperature Regimes,1997,Proceedings Of The Royal Society B-Biological Sciences,5.53,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus anynana,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,19,19,25,25,T2,8,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Female,No,Yes,32,26,210,24,31,202,20,30,209,20,38,195,21
41,41,1,1,2,1,D. Malek,Response Of Body Size And Developmental Time Of Tribolium Castaneum To Constant Versus Fluctuating Thermal Conditions,2015,Journal Of Thermal Biology,3.189,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium castaneum,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,25,25,30,30,T2,10,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,33,346,42.42759796,2.425130624,371,37.80238501,2.511215835,393,24.13117547,2.584600129,381,25.97103918,2.544834679
42,41,1,1,2,2,D. Malek,Response Of Body Size And Developmental Time Of Tribolium Castaneum To Constant Versus Fluctuating Thermal Conditions,2015,Journal Of Thermal Biology,3.189,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium castaneum,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,25,25,30,30,T2,10,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Mass,g,No,No,Female,No,Yes,34,173,2.161538462,0.398725167,185,2.281763926,0.418764486,196,2.304045093,0.424403183,190,2.27433687,0.41459222
43,41,1,1,2,3,D. Malek,Response Of Body Size And Developmental Time Of Tribolium Castaneum To Constant Versus Fluctuating Thermal Conditions,2015,Journal Of Thermal Biology,3.189,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium castaneum,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,25,25,30,30,T2,10,Sinusoidal (Sine Curve),1,Day,NA,NA,NA,Morphology,Mass,g,No,No,Male,No,Yes,35,173,2.06843832,0.400703749,185,2.19015748,0.411180562,196,2.223687664,0.426509186,190,2.180511811,0.416700011
44,43,1,1,3,1,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,36,10,72.6,12.633,11,74.091,3.208,11,48.91,3.419,12,50.5,2.276
45,43,1,1,3,2,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,Both,No,Yes,37,10,34.4,2.366,11,35.091,1.221,11,33.91,1.973,12,35.417,1.782
